"studyName","Topic","Description"
"Tange1995","Stem cross sectional area","Estimated from stem diameter."
"Tange1995","Height","Measured by measuring tape after sampled trees were cut down."
"Tange1995","Biomass","Sample trees  in old-growth plantations were divided into each layer and each organs (stem, branches, and leaves) and weighted (Tange 1995). Green  branches with diameter > 5 mm were categorized as branches and those =< 5 mm as leaves. Fresh mass of stem, branches, and leaves was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples taken from each tree. For stem, a disk of ca. 5 cm thickness was collected as subsample at the basal end of each horizontal layer. For leaves and branches, subsample was collected from each layer. Various sized branches were included in subsample. Subsamples were weighted for fresh mass, oven-dried at 85 degree C, and weighted for dry mass. Each of three parts of young sample trees were divided into each organs (stem, branches, leaves, and roots), oven-dried, and weighted."
"Tange1995","Other variables","Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Tange2010","Sampling strategy","Sampling was conducted in two 91-year old Cryptomeria japonica plantations (Anno1 and Anno2 in sub-compartment C5, compartment 2) located on almost flat fluvial terrace in the University Forests in Chiba, the University of Tokyo (Tange and Kojima 2010). No thinning was conducted in the past 40 years. Tree density was 1230 and 1120 trees per hector for Anno1 and Anno2, respectively. Mean stem diameter at breast height and mean tree height were 27 cm and 19 m for Anno1, and 31 cm and 23 m for Anno2. Three trees from Anno1 and four from Anno2 were selected including dominant, average, and suppressed trees. Sample trees were cut at ground level in April 1993. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0-0.3 m, 0.3-1.3 m, and at intervals of 2 m upward."
"Tange2010","Stem cross sectional area","Estimated from stem diameter."
"Tange2010","Height","Measured by measuring tape after the trees were felled."
"Tange2010","Biomass","Fresh mass of leaves, branches, and stem were measured separately for each layer and tree (Tange and Kojima 2010). Green  branches with diameter > 5 mm were categorized as branches and those =< 5 mm as leaves. Subsamples were collected for each component, each layer, and each tree and were oven-dried at 80 degree C. For stem subsample, a disk of 3-5 cm thickness was collected from the lower end of each stem segment. The dry-to-fresh mass ratios of these subsamples were used to calculate total dry mass of each tree component from fresh mass."
"Tange2010","Other variables","Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Terashi1982","Sampling strategy","Ten trees were felled in each of two Castanopsis sieboldii secondary forests in Amami-oshima, Japan in December 1980. Stand A regenerated after clear cutting before 1945 and assumed to be 45 years old (300 m a.s.l., south-east facing slope). Stand B regenerated from sprouts after clear cutting in 1964 and assumed to be 16 years old (ca. 200 m a.s.l., south-east facing gentle slope). Trees were selected to cover size ranges. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers and components (stem, branches, and leaves)."
"Terashi1982","Leaf area","Leaf area was probably estimated from leaf mass and the ratio of leaf area to mass. Leaf area was measured by automatic leaf area meter."
"Terashi1982","Stem cross sectional area","Estimated from stem diameter."
"Terashi1982","Height","Method not reported."
"Terashi1982","Biomass","Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsamples. "
"Terashi1982","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Terashi and Setoguchi (1982). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Tissue0000a","Sampling strategy","Eucalyptus sideroxylon seedlings were grown under a treatment combination of ambient or elevated temperature (26/18C or 30/22C) and subambient, ambient or elevated CO2 (280, 400 or 640 ?L L-1).  Seedlings were grown at full field capacity for 9 months, after which a drought treatment was applied to one half of the seedlings for approximately 3 months. Seedlings were grown from 265-290 days from planting, at which time they were subjected to a destructive harvest of all biomass.  "
"Tissue0000a","Leaf area","All leaves were measured in a leaf area meter (LI-COR 3100, LI-COR, Inc., Lincoln, Nebr.).  "
"Tissue0000a","Height","Height was measured as the vertical distance from the pot surface to the highest apex."
"Tissue0000a","Biomass","Stems, leaves and roots were destructively harvested on multiple days (78, 79, 80, 83 and 85 days) after planting, and dried for 1 week at 70degreesC."
"Tissue0000a","Growth environment","Glasshouse."
"Tissue0000b","Sampling strategy","Eighty cotton (Gossypium hirsutum L.) plants were grown for 38 days under a treatment combination of ambient or elevated temperature (28/17?C or 32/21?C) and ambient (400 ?L L-1) or elevated [CO2] (640 ?L L-1).  Throughout treatments, plants were watered to full field capacity.   "
"Tissue0000b","Leaf area","All leaves were placed in a leaf area meter."
"Tissue0000b","Height","Height was measured as the vertical distance from the pot surface to the highest apex."
"Tissue0000b","Biomass","All stems, leaves and roots were destructively harvested 38 days after planting, and dried for 1 week at 70degreesC."
"Tissue0000b","Growth environment","Glasshouse."
"Tissue0000c","Sampling strategy","One year old seedlings of Wollemi Pine were grown in a glasshouse at the University of Western Sydney for 17 months under 50% shadecloth.  Treatments imposed on the seedlings included a combination of temperature (26 or 31 degrees C) and CO2 (200, 400 or 640 ppm).  Treatments were continued for 17 months at which time a destructive harvest took place for 6 replicates from each temperature and CO2 combination.  "
"Tissue0000c","Leaf area","All leaves were measured in a leaf area meter (LI-COR 3100, LI-COR, Inc., Lincoln, Nebr.).  "
"Tissue0000c","Height","Height was measured as the vertical distance from the pot surface to the highest apex."
"Tissue0000c","Biomass","All stems, leaves and roots were destructively harvested 80 days after planting, and dried for 1 week at 70degreesC."
"Tissue0000c","Growth environment","Glasshouse."
"Tissue0000c","Other variables","Seedlings were grown under 50% shade cloth."
"Utsugi0000","Sampling strategy","10 Larix kaempferi trees were cut at ground level. Stem diameter and tree height were measured. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 2 m thickness."
"Utsugi0000","Stem cross sectional area","Estimated from stem diameter."
"Utsugi0000","Height","Measured by measuring tape."
"Utsugi0000","Biomass","Fresh weights of leaves, branches and stem were measured separately for each layer and tree. Subsamples of each organ (stem discs, branches, and 10-100 g of fresh leaves) were taken from each layer and oven-dried at 70 degC for 2 days for leaves and for 7 days for branches and stem subsamples. The dry-to-fresh weight ratios of the subsample was used to calculate dry weight of each tree component for each layer."
"Utsugi0000","Growth environment","Larix kaempferi managed plantation."
"Utsugi2004","Sampling strategy","10 Quercus crispula, 8 Kalopanax septemlobus, and 8 Betula platyphylla trees located near a permanent plot were cut at ground level. Stem diameter and tree height were measured. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m thickness."
"Utsugi2004","Leaf area","Possible to provide leaf area data with request."
"Utsugi2004","Stem cross sectional area","Estimated from stem diameter."
"Utsugi2004","Height","Measured by measuring tape."
"Utsugi2004","Crown area","Possible to provide crown area data with request."
"Utsugi2004","Biomass","Fresh weights of leaves, branches and stem were measured separately for each layer and tree. Subsamples of each organ (stem discs, branches, and 10-100 g of fresh leaves) were taken from each layer and oven-dried at 70 degC for 2 days for leaves and for 7 days for branches and stem subsamples. The dry-to-fresh weight ratios of the subsample was used to calculate dry weight of each tree component for each layer."
"Utsugi2004","Growth environment","91-year-old secondary deciduous broadleaf forest regenerated after forest fire."
"Utsugi2004","Other variables","Species name and family names according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Valladares2000","Sampling strategy"," Three individuals of each species were harvested from each light treatment."
"Valladares2000","Leaf area"," Leaf area was measured with a portable LI-COR Model 3000 area meter (LI-COR, Lincoln, Nebraska, USA) before drying."
"Valladares2000","Height"," Length and diameter of all stems, branches, and petioles, and the surface area of all leaves were measured as soon as the plants had two to three fully developed leaves."
"Valladares2000","Biomass","Leaves, petioles, stems, branches, and roots of each plant were dried to a constant mass at 70oC. The aboveground biomass of each plant was then calculated from allometric relationships obtained in parallel, destructive measurements carried out in replicate seedlings. The process was repeated on the very same plants each month for fast-growing plants and every two months for slow-growing plants in order to calculate the aboveground biomass increase as a function of time."
"Valladares2000","Growth environment"," Field Experimental. Seeds of 16 tropical rainforest shrub species belonging to the genus Psychotria (Rubiaceae) were planted in 50-L pots containing a 50:50 mixture of forest topsoil and river sand. Pots were placed in a screened growing house at the Smithsonian Tropical Research Institute Station on Barro Colorado Island (BCI, Panama). Plants were maintained under natural air temperature and relative humidity, and were watered daily with an automatic irrigation system. Three light environments were created with neutral density shade cloth, providing a range of total daily photosynthetic photon flux densities (PPFD) similar to those experienced by natural populations."
"Valladares2000","Other variables","Seven variables were considered: leaf mass per unit area, leaf area ratio (total leaf surface area per whole plant mass, m2/kg), supporting biomass (percentage of aboveground plant mass represented by petioles, branches, and stems), root:shoot ratio (root mass per shoot mass, g/g), photosynthetic capacity (Amax, mmol CO2/m2/s2), dark respiration (mmol O2/m2/s2), and aboveground relative growth rate (RGR, mg/g2/wk2)."
"Valladares2000","Year collected","1997"
"vanBreugel2011","Sampling strategy","Out of >350 tree and shrub species that were occur across secondary forest in STRI's Agua Salud area, 26 of the most abundant species in terms of basal area were selected for destructive sampling .  A total of 236 saplings of various sizes (basal diameter range: 0.85-29 cm) were sampled to determine dry weight of leaves, branches and stems and allometric relationships. Saplings grew under a range of canopy conditions; from understory conditions to fully exposed crowns, and were selected in areas adjacent to Agua Salud's Secondary Forest Dynamics Study plots . "
"vanBreugel2011","Height","Tree height was measured as stem length, measured linearly from base to top after felling."
"vanBreugel2011","Crown area","Crown width was measured at two perpendicular angles including the widest width. Projected area and volume were estimated by assuming an ellipse/ellipsoid."
"vanBreugel2011","Biomass","Saplings were divided into stem, branches (grouped in three size classes), petioles and leaves. All compartments were weighed directly after harvest.
Subsamples for each compartment were oven-dried at 70degC to constant weight and weighed to calculate fresh to dry weight ratios (for small saplings all biomass was dried). Fresh to dry weight ratios were used to calculate dry weights for each compartment. Given leaf weights include petioles and leaves."
"vanBreugel2011","Year collected","2009"
"vanBreugel2011","Acknowledgements","Y. Guerrero, J. Balbuena, M. Nuñez, G. Fernandez, F. Garcia, C. Diaz, A. Rivas and G. Sala for their help in data collection"
"Vanninen2005","Sampling strategy","The sample trees represent a collection from several studies: Vanninen et al. 1996, Mäkelä and Vanninen 1998, Vanninen and Mäkelä (1999,2000,2005). In all studies the sample trees were selected randomly from the composed stem frequency series of each plot. The selection was further targeted so that sampling targeted to trees representing dominant, intermediate and suppressed trees."
"Vanninen2005","Stem cross sectional area","Was determined as an average of four stem radii under bark, measured from sample disks in four cardinal points at minimum accuracy of 1 mm."
"Vanninen2005","Height"," Was tape-measured on felled trees."
"Vanninen2005","Leaf mass","Leaf mass is based on sample branches taken systematically in the crowns of all trees. A regression model was developed and parametrised separately for subsets of trees, predicting the leaf biomass of each branch from branch diameter and distance from the top."
"Vanninen2005","Branch mass","Branch mass was estimated using the same method as for leaf mass."
"Vanninen2005","Stem sapwood mass","Disks were taken at several heights of the stem, always including breast height and crown base. Sapwood and heartwood rings were estimated by viewing the disks against light. The cross-sectional area of the disks (both sapwood and heartwood components) was estimated as a circular plate with a diameter that was the average of  two measured perpendicular diameters. The volume of the stem sections between the consecutive disks was calculated as cut cones, and the biomass was obtained using the density of the lower disk, measured by weighing the dry weight and immersion."
"Vanninen2005","Stem heartwood mass","See stem sapwood mass."
"Vanninen2005","Fine root mass","Stand-level estimate of fine root (< 2mm) mass was obtained from soil core samples. Individual-tree fine root estimates were based on dividing the stand level estimate in proportion to basal area."
"Vanninen2005","Coarse root mass","For coarse root mass, all roots were dug up in a 90 degree sector chosen at random around the tree. Roots were followed up to 0.5 cm thickness. They were cleaned and oven dried."
"Vanninen2005","Foliage area","Specific leaf area was measured from a subsample of foliage to convert foliage mass to foliage area."
"Vanninen2005","Crown length","Crown length was measured from felled trees using a tape measure. Crown base was defined as the height where at least two consecutive dead whorls could be found below the continuous crown."
"Vanninen2005","Crown area","Crown width was measured across the widest diameter and perpendicular to that. The length of the crown above and below its widest point were recorded and crown area was estimated as the area of the two cones defined by crown width and the upper and lower lengths."
"Vanninen2005","Year collected","1992, 1994-1997"
"Vanninen2005","Acknowledgements","H. Ylitalo, H. Mäkinen and R. Sievänen"
"Wang1995","Sampling strategy","Sample trees are collected from an age chronosequency of Populus tremuloides natural stands. The sampled stands represent the whole range of site conditions of the species distribution; i.e. from poor to medium and good site productivity. All sample trees were dominant trees."
"Wang1995","Leaf area","Leaf area was not measured. However, we can calculate the leaf area by using specific leaf area of Populus tremuloides to convert the leaf biomass data into leaf area data."
"Wang1995","Stem cross sectional area","We can calculate stem cross sectional area by using the diameter at breast height."
"Wang1995","Biomass"," After felling all branches were weighed fresh in the field. Subsamples of the crown (10% of crown for all trees >5 cm DBH and 100% for trees <5 cm DBH) was dried at 70degC for 48h to obtain the dry to fresh weight ratio."
"Wang1995","Height","Because all sample trees were at different ages, they have different height."
"Wang1995","Year collected","1991-1992"
"Wang1996","Sampling strategy","Sample trees are collected from an age chronosequency of Betula papyrifera natural stands. The sampled stands represent the whole range of site conditions of the species distribution; i.e. from poor to medium and good site productivity. All sample trees were dominant trees."
"Wang1996","Leaf area","Leaf area was not measured. However, we can calculate the leaf area by using specific leaf area of Betula papyrifera to convert the leaf biomass data into leaf area data."
"Wang1996","Stem cross sectional area","We can calculate stem cross sectional area by using the diameter at breast height."
"Wang1996","Height","Because all sample trees were at different ages, they have different height."
"Wang1996","Year collected","1991-1992"
"Wang2000","Sampling strategy","Sample trees are collected from Betula papyrifera and Abies lasiocarpa mixed-wood forest natural stands. All Betula papyrifera sample trees were dominant trees, and Abies lasiocarpa sample trees are co-dominate and suppressed trees."
"Wang2000","Leaf area","Leaf area was not measured. However, we can calculate the leaf area by using specific leaf area of Betula papyrifera and Abies lasiocarpa to convert the leaf biomass data into leaf area data."
"Wang2000","Stem cross sectional area","We can calculate stem cross sectional area by using the diameter at breast height."
"Wang2000","Height","Because all sample trees were at different ages, they have different height."
"Wang2000","Year collected","1996"
"Wang2011","Sampling strategy","Samples of 1-, 2-, 3-, 5- and 6-year-old trees were also taken for destructive measurements of biomass and geometry with four replications for each tree age."
"Wang2011","Leaf area","A needle area is computed from its length L and diameter R based on the allometric relationship provided for Mongolian Scots pine. S=2.57*R(L-0.1167)  (Jiao, 1982). I randomly sampled more than 20 needles in the experiments. I didn't take the samples for each individual and didn't consider the position of leaves in the plant. The specific leaf area can be fitted by leaves area and biomass of these samples. Finally, the Leaf Area was calculated by their biomass and specific leaf area."
"Wang2011","Stem cross sectional area","We have provide the 'Stem diameter at base(d)', then the stem cross sectional area(S) can be calculated as equation S=pi/4*d^2."
"Wang2011","Height","Because trees are young, the heights of most samples are less than one meter. We directly measured the tree height by tape."
"Wang2011","Biomass","Samples were taken for destructive measurements of biomass and geometry. To prevent water loss during measurement, plants were dug up with their roots and soil and transported to the laboratory."
"Wang2011","Year collected","2006-2007"
"Watanabe1984","Sampling strategy","Sample trees were felled in a Quercus myrsinaefolia plantation located in the compartment II-11 of the Tanashi Experimental Field, University of Tokyo (60 m a.s.l.) in December of 1978. Three-year old seedlings were planted in July 1972. Density was 7043 trees/ha in 1978. Twelve trees were selected to represent each size class. Sample trees were cut down at ground level and then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0.5 m depth and divided into stem, branches, and leaves."
"Watanabe1984","Leaf area","Leaf area of each layer was also estimated for each tree from dry mass and the ratio of leaf area to mass. The ratio was obtained for each layer. Leaf area of subsample was measured with an automatic planimeter (Hayashi-Denko AAM-7)."
"Watanabe1984","Stem cross sectional area","Estimated from stem diameter."
"Watanabe1984","Height","Method not reported."
"Watanabe1984","Biomass","Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsample taken from each tree and each layer. Subsamples were oven-dried at 85 degC for more than 18 h."
"Watanabe1984","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Watanabe and Yagi (1984). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Watanabe1985","Sampling strategy","Sample trees were felled in a 4 year-old Quercus serrata plantation located in the compartment II-10 of the Tanashi Experimental Field, University of Tokyo (60 m a.s.l.) in November of 1978. Trees were planted in the spring of 1974. Density was ca. 6800 trees/ha in 1978. After measuring diameter and tree height, 12 trees representing each size class were selected. Sample trees were cut down at ground level and then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0.5 m depth and divided into stem, old branches, new branches, and leaves."
"Watanabe1985","Leaf area","Because Quercus serrata is a deciduous tree and the sampling was conducted in Autumn, leaf area and leaf biomass were assumed to be smaller as a representative value during the growing season. Leaf area of each layer was estimated for each tree from dry mass and the ratio of leaf area to mass. The ratio was obtained for each layer. Leaf area of subsample was measured with an automatic planimeter (Hayashi-Denko AAM-7)."
"Watanabe1985","Stem cross sectional area","Estimated from stem diameter."
"Watanabe1985","Height","Method not reported."
"Watanabe1985","Biomass","Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass. The ratio was estimated from subsample taken from each tree and each layer. Subsamples were oven-dried at 85 degC for more than 48 h."
"Watanabe1985","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Watanabe and Yagi (1985). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Wenk0000","Sampling strategy","Individuals were sampled across sites of known time since last fire. At each site we chose healthy growing individuals."
"Wenk0000","Height","Measured from base of plant to apex"
"Wenk0000","Biomass","Plants were harvested, dried and weighed."
"Wenk0000","Leaf area","Caluclated from using an estimate of LMA and measured leaf biomass."
"Wenk0000","Traits","LMA was calculated on samples taken from top, middle and base of  plants growing nearby and similar-to those used for biomass measures. LMA was estimated by scanning fresh leaves then weighing and measuring dry mass."
"Wenk0000","Growth environment","Harvested in the field in semi-open conditions"
"Whittaker1974","grouping","trees were sampled in three elevation bands west of watershed 6 at the Hubbard Brook Experimental Forest.  L = 550-630m; M = 630-710m; H = 710-785m."
"Whittaker1974","age","age was determined by counting growth rings on the stump or butt log."
"Whittaker1974","m.lf","The crown was divided into 5 height ranges and a random living branch  was chosen from each section. Freshweight of livind wood, dead wood, current twigs with leaves and older leaves were weighed fresh in the field then dried at 105oC to obtain dry weight."
"Whittaker1974","m.br","branch mass includes both dead and live branches"
"Whittaker1974","m.rt","total belowground mass, including the root crown; as described in Vadeboncoeur et al. 2007 Can. J. For. Res. 37: 1777-1783. DOI:  10.1139/X07-032"
"Whittaker1974","Year collected","1965"
"Whittaker1974","Acknowledgements","T. Siccama took the lead in documenting the original data so they could eventually be shared"
"Williams2005","Sampling strategy","Published and unpublished data sets for multiple species and sites across Australia were utilized to determine allometric relationships for tropical and subtropical euclaypt woodlands.  A total of 220 individual trees of various sizes (basal area range: ~4 to 10 m2) were sampled to determine dry weight of leaves, branches and stems and allometric relationships. Trees grew under a range of enviroments from the wet-dry tropical region of the Northern Territory to the major savanna and woodland types of central and eastern Queensland, and New South Wales. "
"Williams2005","Height","Height was measured as the vertical distance from the ground to the highest apex."
"Williams2005","Biomass","Aboveground biomass was estimated by direct harvest techniques. Trees were felled and separated into the component parts of trunk, branches and leaves.  Fresh weight of all material was weighed and subsamples were dried at 65-80oC until constant mass for determination of the dry-mass correction factor."
"Williams2005","Growth environment","Six sites in the wet-dry tropical region, with additional sites in the savanna and woodland plant community types of Australia.  "
"Williams2005","Other variables","Mean annual rainfall provided where available."
"Ximenes2004","Sampling strategy","At the establishment of the plots all trees above 10 cm DBH (including dead trees) were numbered, identified and their DBH measured. The tree was harvested using a chainsaw. The stumps were numbered with the corresponding tree number and the height of each stump was measured. Most of the trees were snigged to the logging dump by a skidder or excavator; large trees had their crown component cut in the forest and each component snigged to the logging dump separately. A visual assessment was made to estimate any losses (crown, branches and bark) that may have occurred due to transport of the trees from the forest to the logging dump and their handling. The length, and butt, top and centre diameters of each log were measured. Samples were cut from the log products, crown and bark for laboratory analysis (moisture content, density and sapwood content)."
"Ximenes2004","Biomass","Trees weighing less than five tonnes were weighed as a whole. Trees heavier than five tonnes required further cutting before their weight was determined. The commercial log(s) was debarked, graded and weighed. The biomass was weighed on weigh bars mounted on top of a trailer especially designed and built for the CRCGA research. An excavator was used to lift the biomass components onto the trailer. The trailer is equipped with a heavy upper frame and each corner is supported by a two-speed drop leg. The nominal dimensions of the trailer are: length load space: 2.5 m; length overall: 4.1m; width load space: 1.8 m; width overall: 1.8m. Both weigh bars are equipped with two load cells with a combined capacity of 5 tonnes. Weight increments of 0.2 kg are displayed on a digital display. The weight of stumps was determined by multiplying their volume by the green density of the 'butt' section of the respective tree. The volume of the stumps was determined assuming, for practical reasons, they approached the form of the cylinder (Husch et al 1972). The weight of trees that had a component of bark, crown or branches missing was adjusted based on a visual assessment of the loss."
"Ximenes2004","Growth environment","Field, wild."
"Ximenes2004","Year collected","2003"
"Yamaba2007","Sampling strategy","Quercus serrata were sampled in two Q. serrata dominated secondary natural forests in 2005: Miyoshi city-1 (215 m a.l.s; NE facing slope; slope = 13 degrees) and Shobara city-2 (580 m; NE; 28 degrees) (Yamaba 2007). Both sites used to be dominated by Pinus densiflora before many pine trees were killed by pine wilt disease. P. densiflora were sampled in P. densiflora dominated secondary natural forest at Higashihiroshima city-3 (415 m; SE; 5 degrees) in August 2006. Chamaecyparis obtusa was sampled in two plantations in 2004: Miyoshi city-Toukaichimachi (207m; E; 12 degrees) and Shobara city-Nigorikawachyo (484 m; SW; 33 degrees). Within each site, 20 times 20 m quadrate was created and stem diameter at breast height and tree height of all trees within the quadrate were measured. One dominant tree, two average-sized trees, and one suppressed tree were chosen from each quadrate and were cut down. Sample trees were treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0.2-1.2 m, and at intervals of 1 m upward for evergreen gymnosperm and in horizontal layers of 0.2-3.2 m, and at intervals of 3 m upward for Q. serrata and divided into stem, branches, leaves, and dead branches and leaves. Green parts of C. obtusa were categorized as leaves. Leaves of P. densiflora were easily divided from branches because sampling was conducted in August when the leaves are elongated. Coarse roots were excavated by a winch and the remained roots were dug up manually. After soil was washed away, roots were divided by the root diameter class. Because the Q. serrata tree with diameter at breast height (d.bh) = 0.341 m was multi-stemmed, d.bh and tree height (h.t) were calculated as: d.bh = 2*square root (total basal area of all stems/pi); h.t = mean height of all stems."
"Yamaba2007","Stem cross sectional area","Estimated from stem diameter."
"Yamaba2007","Height","Tree height was measured by measuring tape after trees were cut down."
"Yamaba2007","Biomass","Each component in each layer or each diameter class was weighted (Yamaba 2007). Fresh mass was converted to dry mass from the dry/fresh mass ratio. The ratio was estimated from subsamples taken for each component and each layer for aboveground and for each diameter class for roots. Subsamples were oven-dried at 105 degree C until there was no change in the mass. Dry mass of dead branches and leaves were not included in this data paper (see Yamaba 2007 for the dry mass for these components). For fine roots (diameter > 5 mm) that were unavailable to dug up, dry mass was estimated from the root diameter at the distal end where the roots were missing using the allometric equation log(dry mass) = a*log(D^2)+b where D is root diameter at the distal end and a and b are parameters. This equation was obtained from samples collected in the same stands as the felled trees."
"Yamaba2007","Other variables","Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Yamada1957","Sampling strategy","Sampling was conducted in 10 plots in May 1956. These plots were in 53-year-old Pinus densiflora plantation located in compartment 93-i of the national forest in Sasakami village, Niigata, Japan. Averaged sized tree was selected and cut down at ground level from each plot. Tree height, height of the lowest living branch, and stem diameters at breast height were measured. Sample trees were then divided into stem, branches, and leaves."
"Yamada1957","Stem cross sectional area","Estimated from stem diameter."
"Yamada1957","Height","Method not reported."
"Yamada1957","Biomass","Measured fresh weight was converted to dry weight from the ratio of dry to fresh weights. The ratio was estimated from subsamples."
"Yamada1957","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Yamada et al. (1957). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Yamada1996","Sampling strategy"," Trees without any evidence of breakage were collected from closed stands."
"Yamada1996","Leaf area"," Leaf areas were measured for 108 leaves taken from 11 sample trees of 37 cm to 1870 cm in height."
"Yamada1996","Stem cross sectional area"," Measured by a caliper in two directions"
"Yamada1996","Height"," Measured by a measuring tape."
"Yamada1996","Crown area"," Measured by a measuring tape."
"Yamada1996","Biomass"," Fresh weights were measured and some samples were oven dried and weighed. And the fresh weights were later converted to oven dry weights."
"Yamada1996","Traits"," A species with moderately shade tolerance."
"Yamada1996","Growth environment"," A species with moderately shade tolerance."
"Yamada1996","Year collected","1992-1993"
"Yamada1996","Acknowledgements","E. Suzuki"
"Yamada2000","Sampling strategy"," trees that showed no evidence of past breakage were collected"
"Yamada2000","Leaf area"," Leaf area was determined with a scanner (Epson EP Scan GT-8000) combined with an area-determination software (Adobe Photoshop 2.5J."
"Yamada2000","Stem cross sectional area"," It was defined as the geometric mean of the two stem diameters measured."
"Yamada2000","Height"," Measured by a measuring tape."
"Yamada2000","Crown area"," This was calculated as the projection of an ellipse defiend byt eh tow crown diameters."
"Yamada2000","Biomass"," The sample trees were cut into four fractions; leaves"
"Yamada2000"," petioles"," branches adn stems"
"Yamada2000"," that were dried seperately at 80oC for 1 week in an oven and their oven dry mass were measured.",""
"Yamada2000","Traits"," Species with moderately shade tolerance for all"
"Yamada2000","Growth environment"," Under the closed canopies in a primary forest."
"Yamada2000","Year collected","1996"
"Yamada2000","Acknowledgements","E. Suzuki"
"Yamaji1991","Sampling strategy","The allometric relationships between different dimensions of a hinoki (Chamaecyparis obtusa (Sieb. Et Zucc.) Endl.) tree were examined on the basis of 55 destructive samples, which were collected from four different stands and whose age ranged from 12 to 59 years (Hagihara1993).  Only 6 sample trees are reported here. For the rest of 49 trees see Hagihara1993, Iijima1991, Mori1991, Nakagaki1983, and Tanao1982. Biomass and leaf area estimates were determined by the stratified clip technique, in which the stratum was 0.0-0.3 m, 0.3-1.3 m, 1.3-2.3 m, and at intervals of 1 m upward."
"Yamaji1991","Leaf area","Leaf area was determined with area meters (Murayama NCE-3, Hayashi AAC-100, Hayashi AAM-5) on subsamles and was then extrapolatied to total leaf area using specific leaf area from each stratum and summing up each stratum.  Specific leaf area was estimated from a sample of leaves used for estimating the ratio of dry/fresh weight and area. Total leaf weight was measured for each stratum."
"Yamaji1991","Stem cross sectional area","Estimated from stem diameter."
"Yamaji1991","Height","Height was measured as the vertical distance from the ground surface to the highest apex of each tree."
